ID,Name,Rating,Position,Alt-Pos1,Alt-Pos2,Alt-Pos3,Nation,Club,Card Type,ST,RW,LW,CF,CAM,CM,RM,LM,CDM,CB,LB,LWB,RB,RWB
20281,Karim Benzema,92,CF,ST,,,France,Al Ittihad,radioactive,91,89,89,91,90,84,88,88,66,58,62,66,62,66
4,Gianluca Vialli,91,ST,CF,,,Italy,HERO,uefa_heroes_men,90,85,85,88,85,78,84,84,63,58,63,65,63,65
6,Wesley Sneijder,91,CAM,CM,LM,,Holland,HERO,uefa_heroes_men,85,89,89,89,91,89,90,90,78,66,73,77,73,77
23,Erling Haaland,91,ST,CF,,,Norway,Manchester City,gold rare,90,82,82,86,82,74,79,79,63,62,60,62,60,62
35,Kylian Mbappe,91,ST,CF,LW,,France,Paris SG,gold rare,90,91,91,91,89,81,89,89,63,54,63,68,63,68
36,Alexia Putellas Segura,91,CM,LW,,,Spain,FC Barcelona,gold rare,88,90,90,90,91,90,90,90,83,76,80,82,80,82
37,Kevin De Bruyne,91,CM,CAM,,,Belgium,Manchester City,gold rare,83,87,87,88,89,90,88,88,80,70,75,79,75,79
18895,Robert Lewandowski,91,ST,CF,,,Poland,FC Barcelona,if,91,87,87,89,87,81,85,85,67,62,62,66,62,66
18916,Franco Baresi,91,CB,,,,Italy,EA FC ICONS,icon,64,67,67,66,70,78,70,70,89,90,87,84,87,84
18917,Thierry Henry,91,ST,CF,LW,,France,EA FC ICONS,icon,90,89,89,89,88,82,88,88,69,63,69,72,69,72
18918,Carlos Alberto Torres,91,RB,RWB,CB,,Brazil,EA FC ICONS,icon,78,82,82,81,82,82,83,83,85,87,88,88,88,88
18919,Marcos Cafu,91,RWB,RB,,,Brazil,EA FC ICONS,icon,73,80,80,78,80,82,83,83,86,85,88,89,88,89
18920,Marco van Basten,91,ST,CF,,,Holland,EA FC ICONS,icon,90,86,86,88,85,77,83,83,60,54,60,63,60,63
18983,Eusebio,91,CF,ST,,,Portugal,EA FC ICONS,icon,90,90,90,90,89,83,89,89,66,58,66,69,66,69
18984,Zico,91,CAM,CM,CF,,Brazil,EA FC ICONS,icon,88,91,91,91,91,88,90,90,76,68,75,78,75,78
18992,Homare Sawa,91,CM,CAM,,,Japan,EA FC ICONS,icon,88,90,90,90,91,91,90,90,86,81,84,86,84,86
18993,Roberto Baggio,91,CAM,CF,,,Italy,EA FC ICONS,icon,83,89,89,88,90,84,88,88,64,51,62,66,62,66
19605,Alexia Putellas Segura,91,CM,LW,,,Spain,FC Barcelona,nike,88,90,90,90,91,90,90,90,83,76,80,82,80,82
19620,Harry Kane,91,ST,CF,,,England,FC Bayern Munchen,if,90,86,86,89,88,85,86,86,71,64,66,69,66,69
19645,Bukayo Saka,91,RW,RM,,,England,Arsenal,ucl_live,85,91,91,90,90,86,90,90,78,70,79,82,79,82
19777,Mohamed Salah,91,RW,RM,,,Egypt,Liverpool,trailblazers,88,90,90,90,89,84,89,89,70,60,69,73,69,73
19778,Caroline Graham Hansen,91,RW,RM,,,Norway,FC Barcelona,trailblazers,86,90,90,89,90,84,90,90,69,61,68,72,68,72
19913,Ruud Gullit,91,CF,CM,CAM,ST,Holland,EA FC ICONS,centurions_icon,90,89,89,90,90,90,89,89,87,84,85,86,85,86
19988,Aitana Bonmati Conca,91,CM,,,,Spain,FC Barcelona,centurions,84,88,88,89,91,90,88,88,85,77,80,82,80,82
20085,Mohamed Salah,91,RW,RM,,,Egypt,Liverpool,potm_epl,88,90,90,90,90,84,89,89,70,61,69,73,69,73
20123,Karim Benzema,91,ST,CF,,,France,Al Ittihad,if,90,88,88,90,89,83,87,87,65,57,61,65,61,65
20180,Aitana Bonmati Conca,91,CM,,,,Spain,FC Barcelona,if,84,89,89,89,91,90,88,88,84,77,80,82,80,82
20182,Mohamed Salah,91,RW,RM,,,Egypt,Liverpool,if,88,90,90,90,90,84,89,89,70,61,69,73,69,73
20202,Vinicius Junior,91,LW,LM,,,Brazil,Real Madrid,thunderstruck,84,89,89,88,88,79,88,88,60,47,58,64,58,64
20220,Neymar Jr,91,CAM,LM,LW,,Brazil,Al Hilal,thunderstruck,84,90,90,89,90,83,89,89,64,51,62,67,62,67
20223,Marie Katoto,91,ST,CF,,,France,Paris SG,thunderstruck,90,86,86,88,87,79,85,85,61,57,61,64,61,64
20224,Kadidiatou Diani,91,RW,RM,ST,,France,OL,thunderstruck,88,89,89,89,89,84,88,88,72,67,72,75,72,75
20238,Iker Casillas,91,GK,,,,Spain,EA FC ICONS,thunderstruck_icon,,,,,,,,,,,,,,
20258,Caroline Graham Hansen,91,RW,RM,,,Norway,FC Barcelona,if,87,90,90,90,90,84,90,90,69,61,68,72,68,72
20282,Sam Kerr,91,ST,CF,,,Australia,Chelsea,radioactive,90,88,88,89,87,79,86,86,63,60,62,65,62,65
3,Nadine Kessler,90,CM,CAM,,,Germany,HERO,uefa_heroes_women,87,89,89,89,90,91,89,89,86,81,83,85,83,85
5,Carlos Tevez,90,ST,CF,,,Argentina,HERO,uefa_heroes_men,89,88,88,90,88,82,88,88,69,63,66,70,66,70
7,Bixente Lizarazu,90,LWB,LB,,,France,HERO,uefa_heroes_men,76,81,81,79,81,84,84,84,87,84,88,88,88,88
32,Sam Kerr,90,ST,CF,,,Australia,Chelsea,gold rare,89,86,86,88,85,78,84,84,62,58,61,64,61,64
38,Aitana Bonmati Conca,90,CM,,,,Spain,FC Barcelona,gold rare,83,87,87,88,90,89,86,86,83,75,79,81,79,81
39,Lionel Messi,90,CF,CAM,ST,,Argentina,Inter Miami CF,gold rare,85,90,90,89,91,85,89,89,63,49,59,64,59,64
40,Karim Benzema,90,CF,ST,,,France,Al Ittihad,gold rare,88,86,86,89,88,82,86,86,64,55,60,64,60,64
41,Thibaut Courtois,90,GK,,,,Belgium,Real Madrid,gold rare,,,,,,,,,,,,,,
42,Harry Kane,90,ST,CF,,,England,FC Bayern Munchen,gold rare,89,84,84,87,86,83,85,85,69,63,64,67,64,67
43,Caroline Graham Hansen,90,RW,RM,,,Norway,FC Barcelona,gold rare,85,89,89,88,89,83,89,89,68,60,67,71,67,71
44,Robert Lewandowski,90,ST,CF,,,Poland,FC Barcelona,gold rare,89,85,85,88,86,80,84,84,66,61,61,65,61,65
18896,Mohamed Salah,90,RW,RM,,,Egypt,Liverpool,if,86,89,89,89,88,83,88,88,69,59,68,72,68,72
18921,Iker Casillas,90,GK,,,,Spain,EA FC ICONS,icon,,,,,,,,,,,,,,
18922,Raul Gonzalez Blanco,90,CF,ST,,,Spain,EA FC ICONS,icon,90,87,87,90,88,81,86,86,64,58,64,66,64,66
18923,George Best,90,RW,RM,CAM,LW,Northern Ireland,EA FC ICONS,icon,87,89,89,89,88,83,88,88,70,63,72,74,72,74
18924,Andrea Pirlo,90,CM,CDM,,,Italy,EA FC ICONS,icon,80,86,86,86,89,89,87,87,81,70,77,81,77,81
18925,Xavier Hernandez,90,CM,,,,Spain,EA FC ICONS,icon,79,87,87,87,89,90,89,89,82,70,79,82,79,82
18926,Dennis Bergkamp,90,CF,CAM,ST,,Holland,EA FC ICONS,icon,86,88,88,89,88,82,87,87,64,53,61,66,61,66
18927,Ruud Gullit,90,CF,CM,CAM,ST,Holland,EA FC ICONS,icon,89,87,87,89,88,89,88,88,85,83,84,84,84,84
18928,Rivaldo,90,LW,LM,CAM,CF,Brazil,EA FC ICONS,icon,87,89,89,89,89,83,88,88,66,57,65,69,65,69
18985,Roberto Carlos,90,LB,LWB,,,Brazil,EA FC ICONS,icon,82,82,82,81,81,83,83,83,86,85,88,88,88,88
18994,Alessandro Del Piero,90,CF,CAM,ST,,Italy,EA FC ICONS,icon,87,90,90,90,90,83,89,89,64,54,64,68,64,68
18995,Lothar Matthaus,90,CM,CB,CDM,,Germany,EA FC ICONS,icon,85,85,85,86,86,89,86,86,89,87,88,88,88,88
18996,Camille Abily,90,CM,CAM,,,France,EA FC ICONS,icon,86,88,88,89,90,90,88,88,86,80,83,85,83,85
18997,Bobby Moore,90,CB,,,,England,EA FC ICONS,icon,72,73,73,73,76,83,76,76,89,89,86,85,86,85
19606,Sam Kerr,90,ST,CF,,,Australia,Chelsea,nike,89,86,86,88,85,78,84,84,62,58,61,64,61,64
19643,Victor Osimhen,90,ST,CF,,,Nigeria,Napoli FC,ucl_live,90,85,85,88,84,76,83,83,62,60,62,65,62,65
19644,Bruno Fernandes,90,CAM,CM,,,Portugal,Manchester Utd,ucl_live,85,88,88,88,90,91,89,89,84,75,80,82,80,82
19779,Ruben Dias,90,CB,,,,Portugal,Manchester City,trailblazers,63,61,61,62,64,72,66,66,85,89,82,80,82,80
19819,Virgil van Dijk,90,CB,,,,Holland,Liverpool,if,72,69,69,71,72,77,71,71,86,89,82,80,82,80
19901,Martin Odegaard,90,CAM,CM,,,Norway,Arsenal,centurions,84,89,89,88,90,89,89,89,80,69,77,80,77,80
19903,Alexandra Popp,90,ST,LM,CF,,Germany,VfL Wolfsburg,centurions,90,84,84,87,84,79,83,83,69,69,69,70,69,70
19914,Jairzinho,90,RW,RM,ST,,Brazil,EA FC ICONS,centurions_icon,90,90,90,91,90,84,89,89,68,62,69,72,69,72
19915,Smith,90,ST,CF,,,England,EA FC ICONS,centurions_icon,90,90,90,91,90,84,89,89,67,62,68,71,68,71
20000,Javier Zanetti,90,RB,RWB,LB,CM,Argentina,EA FC ICONS,centurions_icon,76,81,81,79,81,84,84,84,87,85,88,88,88,88
20018,ter Stegen,90,GK,,,,Germany,FC Barcelona,if,,,,,,,,,,,,,,
20102,David Ginola,90,LM,CAM,ST,LW,France,HERO,triple_threat_hero,89,90,90,90,90,85,90,90,74,69,72,75,72,75
20103,Morientes,90,ST,CF,,,Spain,HERO,triple_threat_hero,90,86,86,88,85,79,84,84,66,63,65,67,65,67
20205,Bernardo Silva,90,CM,RW,,,Portugal,Manchester City,thunderstruck,81,88,88,87,89,89,89,89,82,72,79,83,79,83
20215,Alessandro Nesta,90,CB,,,,Italy,EA FC ICONS,thunderstruck_icon,63,64,64,64,65,71,67,67,84,90,83,81,83,81
20216,Eric Cantona,90,CF,ST,,,France,EA FC ICONS,thunderstruck_icon,90,89,89,90,89,85,89,89,72,67,70,73,70,73
20217,Kaka,90,CAM,,,,Brazil,EA FC ICONS,thunderstruck_icon,85,89,89,88,89,84,89,89,68,57,67,71,67,71
20226,Kenny Dalglish,90,ST,CF,,,Scotland,EA FC ICONS,thunderstruck_icon,89,88,88,89,86,78,86,86,62,57,64,67,64,67
20230,Luis Figo,90,RW,RM,CAM,,Portugal,EA FC ICONS,thunderstruck_icon,85,90,90,89,89,83,89,89,67,56,65,70,65,70
20253,Diego Milito,90,ST,CF,,,Argentina,HERO,uefa_heroes_men,90,86,86,88,86,80,85,85,66,61,64,67,64,67
20254,Abedi Pele,90,CAM,LM,CF,,Ghana,HERO,uefa_heroes_men,86,90,90,89,90,84,89,89,68,59,69,73,69,73
20283,Federico Valverde,90,CM,RW,,,Uruguay,Real Madrid,radioactive,84,87,87,87,88,89,88,88,88,83,86,87,86,87
2,Sonia Bompastor,89,LB,LWB,LM,,France,HERO,uefa_heroes_women,85,88,88,88,88,88,89,89,87,83,88,89,88,89
12,Paulo Futre,89,LW,LM,RW,ST,Portugal,HERO,uefa_heroes_men,84,89,89,87,87,79,87,87,60,50,62,66,62,66
14,Jari Litmanen,89,CAM,CM,,,Finland,HERO,uefa_heroes_men,86,87,87,88,88,83,87,87,63,50,62,66,62,66
15,Rui Costa,89,CAM,,,,Portugal,HERO,uefa_heroes_men,82,87,87,86,88,85,87,87,71,59,68,73,68,73
16,Vincent Kompany,89,CB,,,,Belgium,HERO,uefa_heroes_men,70,68,68,69,69,74,70,70,84,89,84,82,84,82
18,Steve McManaman,89,RM,LM,CAM,RW,England,HERO,uefa_heroes_men,84,88,88,87,88,84,89,89,70,60,69,72,69,72
27,Vinicius Junior,89,LW,LM,,,Brazil,Real Madrid,gold rare,82,88,88,86,86,78,86,86,58,45,57,62,57,62
28,Virgil van Dijk,89,CB,,,,Holland,Liverpool,gold rare,70,67,67,69,70,75,70,70,84,88,81,79,81,79
45,Mohamed Salah,89,RW,RM,,,Egypt,Liverpool,gold rare,85,88,88,87,87,82,87,87,68,58,67,71,67,71
46,Kadidiatou Diani,89,RW,RM,ST,,France,OL,gold rare,87,88,88,88,87,82,87,87,70,65,71,73,71,73
47,Maria Pilar Leon Cebrian,89,CB,,,,Spain,FC Barcelona,gold rare,77,76,76,76,75,80,77,77,86,88,86,85,86,85
48,Ruben Dias,89,CB,,,,Portugal,Manchester City,gold rare,61,60,60,61,62,70,64,64,83,88,80,78,80,78
49,Rodri,89,CDM,CM,,,Spain,Manchester City,gold rare,77,76,76,79,80,85,78,78,87,84,80,80,80,80
50,Neymar Jr,89,LW,LM,,,Brazil,Al Hilal,gold rare,82,88,88,88,89,82,88,88,63,50,61,66,61,66
51,Alex Morgan,89,ST,CF,,,United States,San Diego Wave,gold rare,88,86,86,87,86,81,85,85,67,60,65,68,65,68
52,ter Stegen,89,GK,,,,Germany,FC Barcelona,gold rare,,,,,,,,,,,,,,
53,Alisson,89,GK,,,,Brazil,Liverpool,gold rare,,,,,,,,,,,,,,
54,Ada Hegerberg,89,ST,CF,,,Norway,OL,gold rare,88,85,85,87,85,78,83,83,61,56,58,62,58,62
67,Casemiro,89,CDM,,,,Brazil,Manchester Utd,gold rare,78,74,74,77,77,82,76,76,87,87,83,82,83,82
18929,Kenny Dalglish,89,ST,CF,,,Scotland,EA FC ICONS,icon,88,87,87,88,85,76,84,84,61,56,63,66,63,66
18930,Javier Zanetti,89,RB,RWB,LB,CM,Argentina,EA FC ICONS,icon,74,79,79,78,79,83,82,82,86,83,87,87,87,87
18931,Alessandro Nesta,89,CB,,,,Italy,EA FC ICONS,icon,62,63,63,62,64,69,65,65,82,88,82,79,82,79
18932,Hugo Sanchez,89,ST,CF,,,Mexico,EA FC ICONS,icon,88,87,87,87,85,76,84,84,60,56,62,66,62,66
18933,Alan Shearer,89,ST,CF,,,England,EA FC ICONS,icon,88,82,82,84,81,76,81,81,65,64,66,68,66,68
18934,Kaka,89,CAM,,,,Brazil,EA FC ICONS,icon,83,88,88,87,88,83,88,88,66,55,65,70,65,70
18935,Samuel Eto'o,89,ST,CF,,,Cameroon,EA FC ICONS,icon,88,87,87,88,86,79,86,86,65,60,65,68,65,68
18936,Didier Drogba,89,ST,CF,,,Cote d,EA FC ICONS,icon,88,83,83,85,82,76,82,82,63,60,63,65,63,65
18937,Ruud van Nistelrooy,89,ST,CF,,,Holland,EA FC ICONS,icon,88,83,83,85,81,73,81,81,59,56,59,62,59,62
18938,Eric Cantona,89,CF,ST,,,France,EA FC ICONS,icon,88,88,88,88,88,83,87,87,71,65,69,71,69,71
18939,Socrates,89,CAM,,,,Brazil,EA FC ICONS,icon,87,87,87,88,88,85,88,88,68,59,66,69,66,69
18998,Philipp Lahm,89,RB,RWB,LB,CDM,Germany,EA FC ICONS,icon,74,80,80,78,81,83,82,82,85,81,87,87,87,87
18999,Gary Lineker,89,ST,CF,,,England,EA FC ICONS,icon,88,83,83,86,83,76,82,82,61,55,61,63,61,63
19000,Hristo Stoichkov,89,ST,CF,RW,LW,Bulgaria,EA FC ICONS,icon,88,89,89,89,88,83,88,88,70,64,69,72,69,72
19001,Smith,89,ST,CF,,,England,EA FC ICONS,icon,89,89,89,90,88,82,87,87,66,60,67,70,67,70
19002,Fabio Cannavaro,89,CB,,,,Italy,EA FC ICONS,icon,61,61,61,60,62,67,64,64,81,88,83,80,83,80
19003,Jairzinho,89,RW,RM,ST,,Brazil,EA FC ICONS,icon,89,89,89,89,88,82,88,88,67,60,68,70,68,70
19004,Carles Puyol Saforcada,89,CB,RB,,,Spain,EA FC ICONS,icon,62,59,59,59,60,68,63,63,82,88,83,80,83,80
19005,Emilio Butragueno,89,ST,CF,,,Spain,EA FC ICONS,icon,88,88,88,89,87,79,86,86,61,53,62,66,62,66
19006,Peter Schmeichel,89,GK,,,,Denmark,EA FC ICONS,icon,,,,,,,,,,,,,,
19007,Luis Figo,89,RW,RM,CAM,,Portugal,EA FC ICONS,icon,84,89,89,87,88,82,88,88,66,54,64,69,64,69
19027,Morientes,89,ST,CF,,,Spain,HERO,heroes,89,84,84,86,84,78,83,83,64,61,64,66,64,66
19050,Rudi Voller,89,ST,CF,,,Germany,HERO,heroes,89,86,86,87,85,78,85,85,65,62,66,69,66,69
19051,Jean-Pierre Papin,89,ST,CF,,,France,HERO,heroes,89,83,83,86,83,75,81,81,61,58,62,64,62,64
19052,Abedi Pele,89,CAM,LM,CF,,Ghana,HERO,heroes,84,89,89,88,88,83,88,88,67,58,68,72,68,72
19057,David Ginola,89,LM,CAM,ST,LW,France,HERO,heroes,88,89,89,89,89,84,88,88,72,67,70,73,70,73
19061,Gianluca Vialli,89,ST,CF,,,Italy,HERO,heroes,88,83,83,86,83,76,82,82,61,56,61,63,61,63
19064,Jurgen Kohler,89,CB,,,,Germany,HERO,heroes,65,61,61,62,62,68,65,65,82,88,82,80,82,80
19067,Lucimar da Silva Ferreira,89,CB,,,,Brazil,HERO,heroes,79,75,75,77,76,79,77,77,86,89,86,84,86,84
19607,Virgil van Dijk,89,CB,,,,Holland,Liverpool,nike,70,67,67,69,70,75,70,70,84,88,81,79,81,79
19639,Luis Diaz,89,LW,LM,,,Colombia,Liverpool,europa_live,87,89,89,89,88,82,89,89,66,58,66,70,66,70
19654,Edin Dzeko,89,ST,CF,,,Bosnia and Herzegovina,Fenerbahce,conference,89,83,83,86,84,79,82,82,66,60,60,63,60,63
19727,Joao Pedro,89,ST,CAM,CF,,Brazil,Brighton,europa_live,91,89,89,90,89,81,88,88,63,58,65,68,65,68
19733,Ousmane Dembele,89,RW,RM,LW,,France,Paris SG,ucl_live,80,88,88,86,87,79,87,87,63,51,64,68,64,68
19749,Mario Gotze,89,CAM,LM,CF,,Germany,Frankfurt,conference,83,89,89,88,90,88,90,90,78,67,75,80,75,80
19752,Federico Valverde,89,CM,RW,,,Uruguay,Real Madrid,if,83,86,86,86,87,88,87,87,87,82,85,86,85,86
19773,Heung Min Son,89,ST,LM,CF,LW,Korea Republic,Spurs,potm_epl,87,88,88,89,87,81,88,88,65,57,66,70,66,70
19780,Antoine Griezmann,89,ST,CF,,,France,Atletico de Madrid,trailblazers,88,89,89,90,90,87,88,88,75,69,74,76,74,76
19820,Bruno Fernandes,89,CAM,CM,,,Portugal,Manchester Utd,if,83,86,86,87,88,89,87,87,82,74,78,81,78,81
19847,Heung Min Son,89,ST,LM,CF,LW,Korea Republic,Spurs,trailblazers,87,88,88,89,87,81,87,87,65,57,65,70,65,70
19848,Sophia Smith,89,ST,CF,RW,,United States,Portland Timbers,trailblazers,88,87,87,88,87,81,87,87,68,61,67,71,67,71
19880,Antoine Griezmann,89,ST,CF,,,France,Atletico de Madrid,if,88,88,88,89,89,87,88,88,75,69,74,76,74,76
19904,Pedri,89,CM,,,,Spain,FC Barcelona,centurions,79,85,85,85,88,88,86,86,83,75,79,81,79,81
19905,Grace Geyoro,89,CM,CDM,,,France,Paris SG,centurions,81,84,84,84,86,89,85,85,89,84,86,87,86,87
19916,Ronald Koeman,89,CB,,,,Holland,EA FC ICONS,centurions_icon,84,81,81,83,83,87,82,82,89,88,86,86,86,86
19917,Wayne Rooney,89,ST,CAM,CF,,England,EA FC ICONS,centurions_icon,89,87,87,88,87,83,87,87,72,67,70,72,70,72
19955,Wendie Renard,89,CB,,,,France,OL,if,76,70,70,73,72,77,72,72,85,89,81,79,81,79
19989,Jamal Musiala,89,CAM,CM,LM,,Germany,FC Bayern Munchen,centurions,81,87,87,87,88,85,87,87,76,68,76,78,76,78
20001,Ashley Cole,89,LB,LWB,,,England,EA FC ICONS,centurions_icon,75,82,82,80,81,84,83,83,86,84,88,88,88,88
20086,Lautaro Martinez,89,ST,CF,,,Argentina,Inter,potm_seriea,89,84,84,87,85,79,83,83,68,65,65,66,65,66
20110,Diego Forlan,89,ST,CF,LW,,Uruguay,HERO,triple_threat_hero,88,86,86,88,87,83,85,85,71,65,69,71,69,71
20113,Selma Bacha,89,LB,LWB,LW,,France,OL,ucl_w,78,83,83,81,82,83,84,84,83,80,85,87,85,87
20154,Sadio Mane,89,CF,RM,LM,ST,Senegal,Al Nassr,fc_pro,87,88,88,89,88,81,87,87,67,62,67,70,67,70
20218,Paul Scholes,89,CM,CAM,,,England,EA FC ICONS,thunderstruck_icon,85,84,84,85,86,88,85,85,79,71,74,77,74,77
20219,Edwin van der Sar,89,GK,,,,Holland,EA FC ICONS,thunderstruck_icon,,,,,,,,,,,,,,
20232,Kim Little,89,CM,CDM,CAM,,Scotland,Arsenal,thunderstruck,82,87,87,88,89,88,88,88,79,69,79,82,79,82
20239,Lauren Hemp,89,LW,LM,,,England,Manchester City,thunderstruck,82,87,87,86,86,84,88,88,76,69,78,81,78,81
20277,Antoine Griezmann,89,ST,CF,,,France,Atletico de Madrid,potm_laliga,88,89,89,90,90,87,89,89,76,69,74,76,74,76
20284,N'Golo Kante,89,CDM,CM,,,France,Al Ittihad,radioactive,74,79,79,78,80,82,80,80,87,85,85,85,85,85
1,Alex Scott,88,RB,RWB,,,England,HERO,uefa_heroes_women,79,81,81,80,80,82,82,82,86,86,87,87,87,87
9,Ludovic Giuly,88,RM,RW,,,France,HERO,uefa_heroes_men,82,87,87,86,87,82,87,87,68,57,69,73,69,73
11,Tomas Rosicky,88,CAM,RM,CM,,Czech Republic,HERO,uefa_heroes_men,82,87,87,86,88,85,88,88,76,66,73,77,73,77
13,Dimitar Berbatov,88,ST,CF,,,Bulgaria,HERO,uefa_heroes_men,87,86,86,87,87,79,85,85,61,52,58,62,58,62
68,Ederson,88,GK,,,,Brazil,Manchester City,gold rare,,,,,,,,,,,,,,
69,Bruno Fernandes,88,CAM,CM,,,Portugal,Manchester Utd,gold rare,82,85,85,85,87,88,86,86,81,73,77,79,77,79
70,Bernardo Silva,88,CM,RW,,,Portugal,Manchester City,gold rare,78,85,85,84,87,87,86,86,80,70,76,80,76,80
104,Guro Reiten,88,LW,LM,CAM,,Norway,Chelsea,gold rare,79,87,87,85,86,84,87,87,74,63,75,78,75,78
106,Alexandra Popp,88,ST,LM,CF,,Germany,VfL Wolfsburg,gold rare,87,81,81,84,81,77,80,80,67,66,66,68,66,68
111,Debora C,88,CAM,RM,,,Brazil,KC Current,gold rare,80,87,87,86,87,82,87,87,68,57,65,70,65,70
112,Marie Katoto,88,ST,CF,,,France,Paris SG,gold rare,87,84,84,86,84,77,82,82,59,54,59,62,59,62
186,Patricia Guijarro Gutierrez,88,CM,CDM,,,Spain,FC Barcelona,gold rare,83,83,83,85,85,87,83,83,83,80,81,81,81,81
187,Irene Paredes Hernandez,88,CB,,,,Spain,FC Barcelona,gold rare,65,64,64,64,65,70,66,66,83,87,81,79,81,79
227,Federico Valverde,88,CM,RW,,,Uruguay,Real Madrid,gold rare,82,85,85,85,86,87,85,85,85,80,83,84,83,84
230,Antoine Griezmann,88,ST,CF,,,France,Atletico de Madrid,gold rare,87,87,87,88,88,85,87,87,74,68,73,75,73,75
